#SL,Name of the Manufacturer,Brand Name,Generic Name,Strength,Dosage Description,Price,Use For,DAR,company_id,generic_id,strength_id,dose_id,slug,price_cleaned
9149,Drug International Ltd.,Supraplex,Nicotinamide + Pyridoxine Hydrochloride + Riboflavin + Vitamin B1,20 mg + 2 mg + 2 mg + 5 mg/5 ml,Syrup,"20.90 Tk, 38.20 Tk",Human,210-0059-078,58,21,26.0,5,supraplex,20.9038.20
9209,Drug International Ltd.,T Cef,Cefixime,100 mg/5 ml,Powder For Suspension,"135.45 Tk, 195.60 Tk",Human,210-0108-023,58,14,18.0,4,t-cef,135.45195.60
9427,Drug International Ltd.,Champion,Camphor + Menthol + Methyl Salicylate,4 gm + 10 gm + 30 gm/100 gm,Cream,"95.30 Tk, 120.40 Tk",Human,210-0581-071,58,770,509.0,11,champion,95.30120.40
10065,"Drug International Ltd., Squib Road",Ceforan,Cefpodoxime,40 mg/5 ml,Powder For Suspension,"75.25 Tk, 120.40 Tk",Human,309-0043-023,60,163,83.0,4,ceforan,75.25120.40
10075,"Drug International Ltd., Squib Road",Water for Injection,Water For Injection,10 ml,Injection,"3.35 Tk, 5.00 Tk",Human,309-0054-079,60,416,507.0,15,water-for-injection,3.355.00
10127,"Drug International Ltd., Squib Road",Ontaxel (IV),Paclitaxel,30 mg/5 ml,Injection,"1600.00 Tk, 3000.00 Tk",Human,309-0110-010,60,1018,73.0,15,ontaxel-(iv),1600.003000.00
10323,EDCL (Dhaka),Isoniazid & Thiaceta    100/50,Isoniazid + Thiacetazone,100 mg + 50 mg,Tablet,"0.20 Tk, 0.28 Tk",Human,127-0127-030,62,1364,904.0,1,isoniazid-&-thiaceta----100/50,0.200.28
10350,EDCL (Dhaka),Pyrazinamide    500,Pyrazinamide,500 mg,Tablet,"1.97 Tk, 2.07 Tk",Human,127-0099-030,62,1168,1.0,1,pyrazinamide----500,1.972.07
10360,EDCL (Dhaka),Sulfadoxine + Pyrimethamine,Pyrimethamine + Sulfadoxine,25 mg + 500 mg,Tablet,"2.30 Tk, 2.42 Tk",Human,127-0146-024,62,1305,871.0,1,sulfadoxine-+-pyrimethamine,2.302.42
10375,EDCL (Dhaka),Diethyl Carbamazine,Diethylcarbamazine Citrate,50 mg,Tablet,"0.39 Tk, 0.49 Tk",Human,127-0036-008,62,453,3.0,1,diethyl-carbamazine,0.390.49
10376,EDCL (Dhaka),Albendazole    400,Albendazole,400 mg,Tablet,"2.80 Tk, 2.90 Tk",Human,127-0153-008,62,19,22.0,1,albendazole----400,2.802.90
10410,EDCL (Dhaka),Drotaverine Tablet,Drotaverine Hydrochloride,40 mg,Tablet,"1.63 Tk, 1.66 Tk",Human,127-0251-011,62,167,61.0,1,drotaverine-tablet,1.631.66
10412,EDCL (Dhaka),Cetirizine 5mg/5 ml,Cetirizine Dihydrochloride,5 mg/5 ml,Syrup,"15.00 Tk, 20.00 Tk",Human,127-0236-021,62,39,38.0,5,cetirizine-5mg/5-ml,15.0020.00
10460,EDCL (Dhaka),Ceftazidime,Ceftazidime,250 mg/vial,IV/IM Injection,"35.00 Tk, 62.00 Tk",Human,127-0282-023,62,152,142.0,17,ceftazidime,35.0062.00
10461,EDCL (Dhaka),Ceftazidime,Ceftazidime,500 mg/vial,IV/IM Injection,"45.00 Tk, 95.00 Tk",Human,127-0283-023,62,152,98.0,17,ceftazidime,45.0095.00
10472,EDCL (Dhaka),Cefixime,Cefixime,100 mg/5 ml,Powder For Suspension,"140.00 Tk, 77.50 Tk",Human,127-0243-023,62,14,18.0,4,cefixime,140.0077.50
10542,Edruc Ltd.,Etizin,Cetirizine Dihydrochloride,5 mg/5 ml,Syrup,"16.00 Tk, 15.00 Tk",Human,009-0112-021,63,39,38.0,5,etizin,16.0015.00
10557,Edruc Ltd.,Mithin,Permethrin,5 gm/100 gm,Cream,"25.00 Tk, 40.00 Tk",Human,009-0137-071,63,197,110.0,11,mithin,25.0040.00
10703,Edruc Ltd.,Dexison,Dexamethasone + Moxifloxacin,100 mg + 500 mg/100 ml,Eye Drops,"50.00 Tk, 150.00 Tk",Human,009-0287-052,63,973,130.0,18,dexison,50.00150.00
10719,Eon Pharmaceuticals Ltd.,Elosin-T,Tylosin,20 gm/100 gm,Powder,"213.44 Tk, 1013.04 Tk",Veterinary,131-0001-077,65,138,117.0,21,elosin-t,213.441013.04
10725,Eon Pharmaceuticals Ltd.,Pelocin Powder,Pefloxacin,10 gm/100 ml,Powder,"16.11 Tk, 151.02 Tk",Veterinary,131-0008-077,65,1166,106.0,21,pelocin-powder,16.11151.02
10742,Eon Pharmaceuticals Ltd.,Cox-Zero,Toltrazuril,2.5 gm/100 ml,Solution,"409.68 Tk, 466.90 Tk",Veterinary,131-0035-077,65,142,121.0,14,cox-zero,409.68466.90
10944,Eskayef Pharmaceuticals Ltd. Mirpur.,Zithrox,Azithromycin,200 mg/5 ml,Powder For Suspension,"95.00 Tk, 192.00 Tk",Human,188-0111-023,67,1,20.0,4,zithrox,95.00192.00
10999,Eskayef Pharmaceuticals Ltd. Mirpur.,Toza,Nitazoxanide,100 mg/5 ml,Powder For Suspension,"35.00 Tk, 50.00 Tk",Human,188-0261-027,67,85,18.0,4,toza,35.0050.00
11037,Eskayef Pharmaceuticals Ltd. Mirpur.,Handirub,Chlorhexidine Gluconate,2.5 gm/100 ml,Solution,"30.00 Tk, 80.00 Tk",Human,188-0323-029,67,175,121.0,14,handirub,30.0080.00
11056,Eskayef Pharmaceuticals Ltd. Mirpur.,LICNIL Lotion,Ivermectin,500 mg/100 gm,Lotion,"130.00 Tk, 210.00 Tk",Human,188-0350-071,67,445,627.0,8,licnil-lotion,130.00210.00
11074,"Eskayef Pharmaceuticals Ltd., Narayanganj",Tialin 45% Powder (Vet),Tiamulin Hydrogen Fumerate,45 %,Powder,"9090.00 Tk, 17612.00 Tk",Veterinary,387-0002-077,68,594,344.0,21,tialin-45%-powder-(vet),9090.0017612.00
11076,"Eskayef Pharmaceuticals Ltd., Narayanganj",Eskamycin 20% Powder (Vet),Oxytetracycline,20 gm/100 gm,Powder,"79.74 Tk, 378.77 Tk, 720.36 Tk",Veterinary,387-0004-077,68,135,117.0,21,eskamycin-20%-powder-(vet),79.74378.77720.36
11081,"Eskayef Pharmaceuticals Ltd., Narayanganj",Eskapar 100% Powder (Vet),Piperazine,100 %,Powder,"173.42 Tk, 1467.40 Tk",Veterinary,387-0010-077,68,751,214.0,21,eskapar-100%-powder-(vet),173.421467.40
11083,"Eskayef Pharmaceuticals Ltd., Narayanganj",Eska-CTC Powder (Vet),Chlortetracycline Hydrochloride,20 gm/100 gm,Powder,"6270.00 Tk, 172.77 Tk",Veterinary,387-0012-077,68,137,117.0,21,eska-ctc-powder-(vet),6270.00172.77
11129,"Eskayef Pharmaceuticals Ltd., Narayanganj",Ciproflox Solution,Ciprofloxacin,10 gm/100 ml,Solution,"232.00 Tk, 1053.00 Tk, 2086.00 Tk, 8522.00 Tk",Veterinary,387-0095-077,68,22,106.0,14,ciproflox-solution,232.001053.002086.008522.00
11134,"Eskayef Pharmaceuticals Ltd., Narayanganj",Qtills Vet Oral Solution,Tilmicosin,250 mg/ml,Oral Solution,"175.00 Tk, 825.00 Tk, 3600.00 Tk, 4670.00 Tk",Veterinary,387-0099-077,68,140,119.0,23,qtills-vet-oral-solution,175.00825.003600.004670.00
11136,"Eskayef Pharmaceuticals Ltd., Narayanganj",Alben Vet Suspension,Albendazole,10 gm/100 ml,Suspension,"55.00 Tk, 250.00 Tk, 1053.00 Tk",Veterinary,387-0100-077,68,19,106.0,6,alben-vet-suspension,55.00250.001053.00
11138,"Eskayef Pharmaceuticals Ltd., Narayanganj",Enroflox 10%,Enrofloxacin,100 mg/ml,Solution,"4261.00 Tk, 50.00 Tk, 220.00 Tk, 933.00 Tk, 1800.00 Tk",Veterinary,387-0102-077,68,134,116.0,14,enroflox-10%,4261.0050.00220.00933.001800.00
11139,"Eskayef Pharmaceuticals Ltd., Narayanganj",Verkil Vet Oral Solution,Ivermectin,1 gm/100 gm,Solution,"120.00 Tk, 575.00 Tk",Veterinary,387-0096-077,68,445,52.0,14,verkil-vet-oral-solution,120.00575.00
11146,"Eskayef Pharmaceuticals Ltd., Narayanganj",Novoflor Vet Oral solution,Florfenicol,20 gm/100 ml,Oral Solution,"155.00 Tk, 750.00 Tk, 3150.00 Tk",Veterinary,387-0107-077,68,719,458.0,23,novoflor-vet-oral-solution,155.00750.003150.00
11193,"Eskayef Pharmaceuticals Ltd., Tongi,Gazipur",Amprol,Amprolium,20 %,Powder,"213.00 Tk, 1020.51 Tk",Veterinary,308-0037-077,69,141,120.0,21,amprol,213.001020.51
11202,"Eskayef Pharmaceuticals Ltd., Tongi,Gazipur",Enroflox    10,Enrofloxacin,100 mg/ml,Solution,"220.00 Tk, 1000.00 Tk",Veterinary,308-0047-077,69,134,116.0,14,enroflox----10,220.001000.00
11205,"Eskayef Pharmaceuticals Ltd., Tongi,Gazipur",Eskamycin    20%,Oxytetracycline,20 gm/100 gm,Powder,"79.74 Tk, 378.77 Tk, 720.36 Tk",Veterinary,308-0041-077,69,135,117.0,21,eskamycin----20%,79.74378.77720.36
11208,"Eskayef Pharmaceuticals Ltd., Tongi,Gazipur",Eskapar    100,Piperazine,100 %,Powder,"173.42 Tk, 1467.40 Tk",Veterinary,308-0039-077,69,751,214.0,21,eskapar----100,173.421467.40
11210,"Eskayef Pharmaceuticals Ltd., Tongi,Gazipur",Eskatrim,Sulphadiazine + Trimethoprim,40 gm + 8 gm/100 ml,Suspension,"170.75 Tk, 827.48 Tk",Veterinary,308-0048-077,69,754,492.0,6,eskatrim,170.75827.48
11233,"Eskayef Pharmaceuticals Ltd., Tongi,Gazipur",Softi,Zinc Oxide,75 mg/gm,Ointment,"35.00 Tk, 90.00 Tk",Human,308-0088-071,69,460,918.0,9,softi,35.0090.00
11234,"Eskayef Pharmaceuticals Ltd., Tongi,Gazipur",Solvitone,Nicotinamide + Pyridoxine Hydrochloride + Riboflavin + Vitamin B1,20 mg + 2 mg + 2 mg + 5 mg/5 ml,Syrup,"20.98 Tk, 38.22 Tk",Human,308-0065-078,69,21,26.0,5,solvitone,20.9838.22
11238,"Eskayef Pharmaceuticals Ltd., Tongi,Gazipur",Tylosef    20%,Tylosin,20 gm/100 gm,Powder,"233.45 Tk, 1113.89 Tk, 2121.05 Tk",Veterinary,308-0044-077,69,138,117.0,21,tylosef----20%,233.451113.892121.05
11243,"Eskayef Pharmaceuticals Ltd., Tongi,Gazipur",Ciproflox,Ciprofloxacin,10 gm,Solution,"232.58 Tk, 1053.16 Tk, 2086.51 Tk",Veterinary,308-0061-077,69,22,382.0,14,ciproflox,232.581053.162086.51
11247,"Eskayef Pharmaceuticals Ltd., Tongi,Gazipur",Tialin,Tiamulin Hydrogen Fumerate,45 %,Powder,"9090.00 Tk, 17612.00 Tk",Veterinary,308-0063-077,69,594,344.0,21,tialin,9090.0017612.00
11276,"Eskayef Pharmaceuticals Ltd., Tongi,Gazipur",Xinc    4.05mg/5ml,Zinc,4.05 mg/5 ml,Syrup,"35.00 Tk, 55.00 Tk",Human,308-0133-062,69,31,513.0,5,xinc----4.05mg/5ml,35.0055.00
11296,"Eskayef Pharmaceuticals Ltd., Tongi,Gazipur",Neoxel Vet,Neomycin Sulphate,500 mg/gm,Sachet,"291.88 Tk, 2525.07 Tk",Veterinary,308-0273-077,69,144,928.0,69,neoxel-vet,291.882525.07
11432,"Eskayef Pharmaceuticals Ltd., Tongi,Gazipur",SK-Cef,Cephradine,125 mg/5 ml,Powder For Suspension,"80.00 Tk, 140.00 Tk",Human,308-0322-023,69,37,17.0,4,sk-cef,80.00140.00
11491,"Eskayef Pharmaceuticals Ltd., Tongi,Gazipur",Tamen,Paracetamol,120 mg/5 ml,Syrup,"31.86 Tk, 60.00 Tk",Human,308-0388-006,69,26,31.0,5,tamen,31.8660.00
11503,"Eskayef Pharmaceuticals Ltd., Tongi,Gazipur",Roxim XL,Cefixime,200 mg/5 ml,Powder For Suspension,"225.00 Tk, 320.00 Tk",Human,308-0402-023,69,14,20.0,4,roxim-xl,225.00320.00
11517,"Eskayef Pharmaceuticals Ltd., Tongi,Gazipur",Zithrox,Azithromycin,200 mg/5 ml,Powder For Suspension,"95.00 Tk, 192.00 Tk",Human,308-0417-023,69,1,20.0,4,zithrox,95.00192.00
11596,"Eskayef Pharmaceuticals Ltd., Tongi,Gazipur",Laxitol,Lactitol,66.67 gm/100 ml,Syrup,"120.00 Tk, 65.00 Tk",Human,308-0518-060,69,645,932.0,5,laxitol,120.0065.00
11600,"Eskayef Pharmaceuticals Ltd., Tongi,Gazipur",Alerin IM/IV,Pheniramine Maleate,22.75 mg/ml,Injection,"110.33 Tk, 15.05 Tk",Veterinary,308-0526-077,69,198,389.0,15,alerin-im/iv,110.3315.05
11607,"Eskayef Pharmaceuticals Ltd., Tongi,Gazipur",Tylosef IM Inj,Tylosin,20 gm/100 ml,Injection,"60.18 Tk, 170.51 Tk",Veterinary,308-0536-077,69,138,458.0,15,tylosef-im-inj,60.18170.51
11726,"Eskayef Pharmaceuticals Ltd., Tongi,Gazipur",Topiclo S,Clobetasol Propionate + Salicylic Acid,.05 gm + 3 gm/100 gm,Ointment,"70.00 Tk, 120.00 Tk",Human,308-0708-071,69,959,622.0,9,topiclo-s,70.00120.00
11737,"Eskayef Pharmaceuticals Ltd., Tongi,Gazipur",Levomax Vet,Levofloxacin,10 gm/100 ml,Solution,"260.00 Tk, 1100.00 Tk",Veterinary,308-0718-077,69,95,106.0,14,levomax-vet,260.001100.00
11757,"Eskayef Pharmaceuticals Ltd., Tongi,Gazipur",MARBO VET  IM/IV/SC Injection,Marbofloxacin,100 mg/ml,Injection,"1000.00 Tk, 3100.00 Tk",Veterinary,308-0746-077,69,145,116.0,15,marbo-vet--im/iv/sc-injection,1000.003100.00
11775,"Eskayef Pharmaceuticals Ltd., Tongi,Gazipur",Verkil VET,Ivermectin,1 gm/100 gm,Solution,"110.00 Tk, 500.00 Tk",Veterinary,308-0776-077,69,445,52.0,14,verkil-vet,110.00500.00
11785,"Eskayef Pharmaceuticals Ltd., Tongi,Gazipur",Novoflor Vet,Florfenicol,20 gm/100 ml,Oral Solution,"750.00 Tk, 3150.00 Tk, 6000.00 Tk",Veterinary,308-0387-077,69,719,458.0,23,novoflor-vet,750.003150.006000.00
11804,"Eskayef Pharmaceuticals Ltd., Tongi,Gazipur",Lulizol Cream,Luliconazole,10 mg/gm,Cream,"100.00 Tk, 180.00 Tk",Human,308-0813-071,69,994,48.0,11,lulizol-cream,100.00180.00
12008,Ethical Drug Ltd.,Efloxin,Ciprofloxacin,250 mg/5 ml,Powder For Suspension,"25.00 Tk, 950.00 Tk",Human,078-0118-023,70,22,44.0,4,efloxin,25.00950.00
12095,Ethical Drug Ltd.,Nuromin Vet,Thiamine Hydrochloride,100 mg/ml,Injection,"22.50 Tk, 67.50 Tk",Human,078-0221-078,70,56,116.0,15,nuromin-vet,22.5067.50
12216,Euro Pharma Ltd.,Eteen,Ebastine,5 mg/5 ml,Syrup,"60.00 Tk, 80.00 Tk",Human,337-0097-021,71,624,38.0,5,eteen,60.0080.00
12266,Euro Pharma Ltd.,Brite,Fluocinolone + Hydroquinone + Tretinoin,.01 gm + 4 gm + .05 gm/100 gm,Cream,"110.00 Tk, 200.00 Tk",Human,337-0148-071,71,875,566.0,11,brite,110.00200.00
12281,Euro Pharma Ltd.,Hexihygin Hand Rub,Chlorhexidine Gluconate,500 mg/100 ml,Hand Rub,"40.00 Tk, 75.00 Tk, 130.00 Tk",Human,337-0169-071,71,175,145.0,29,hexihygin-hand-rub,40.0075.00130.00
12282,Euro Pharma Ltd.,Povirub Topical Solution,Povidone Iodine,10 gm/100 ml,Topical Solution,"55.00 Tk, 65.00 Tk, 85.00 Tk",Human,337-0170-071,71,123,106.0,19,povirub-topical-solution,55.0065.0085.00
12317,Euro Pharma Ltd.,Ezyfeel,Sodium Picosulfate,100 mg/100 ml,Oral Solution,"85.00 Tk, 150.00 Tk, 270.00 Tk",Human,337-0201-060,71,822,380.0,23,ezyfeel,85.00150.00270.00
12337,Euro Pharma Ltd.,Terbosis,Terbinafine,1 gm/100 gm,Cream,"80.00 Tk, 60.00 Tk",Human,337-0223-071,71,412,52.0,11,terbosis,80.0060.00
12343,Euro Pharma Ltd.,Neomycin B,Bacitracin Zinc + Neomycin Sulphate,500 IU + 5 mg/gm,Ointment,"17.48 Tk, 44.00 Tk",Human,337-0229-071,71,192,277.0,9,neomycin-b,17.4844.00
12406,Everest Pharmaceuticals Ltd.,Xevlin,Azithromycin,200 mg/5 ml,Powder For Suspension,"160.00 Tk, 216.00 Tk",Human,157-0050-023,72,1,20.0,4,xevlin,160.00216.00
12481,Everest Pharmaceuticals Ltd.,Urtinex,Rupatadine,100 mg/100 ml,Oral Solution,"60.00 Tk, 75.00 Tk",Human,157-0142-021,72,106,380.0,23,urtinex,60.0075.00
12507,Everest Pharmaceuticals Ltd.,Picoplus Oral solution,Sodium Picosulfate,100 mg/100 ml,Oral Solution,"85.00 Tk, 150.00 Tk, 270.00 Tk",Human,157-0172-060,72,822,380.0,23,picoplus-oral-solution,85.00150.00270.00
12511,Everest Pharmaceuticals Ltd.,Kidpred Oral Solution,Prednisolone,5 mg/5 ml,Solution,"65.00 Tk, 95.00 Tk",Human,157-0164-072,72,434,38.0,14,kidpred-oral-solution,65.0095.00
12563,Everest Pharmaceuticals Ltd.,Nafinex Cream,Naftifine Hydrochloride,2 gm/100 gm,Cream,"80.00 Tk, 230.00 Tk",Human,157-0227-071,72,1427,568.0,11,nafinex-cream,80.00230.00
12564,Everest Pharmaceuticals Ltd.,Amonex Cream,Amorolfine Hydrochloride,250 mg/100 gm,Cream,"100.00 Tk, 280.00 Tk",Human,157-0228-071,72,1428,957.0,11,amonex-cream,100.00280.00
12565,Everest Pharmaceuticals Ltd.,Lulifast,Luliconazole,10 mg/gm,Cream,"100.00 Tk, 180.00 Tk, 280.00 Tk",Human,157-0229-071,72,994,48.0,11,lulifast,100.00180.00280.00
12566,Everest Pharmaceuticals Ltd.,Bilxen Syrup,Bilastine,12.5 mg/5 ml,Syrup,"75.00 Tk, 140.00 Tk",Human,157-0230-021,72,824,735.0,5,bilxen-syrup,75.00140.00
12583,Everest Pharmaceuticals Ltd.,Rulifast Cream,Ruxolitinib,1.5 gm/100 gm,Cream,"6500.00 Tk, 13000.00 Tk",Human,157-0274-071,72,1123,958.0,11,rulifast-cream,6500.0013000.00
12598,Everest Pharmaceuticals Ltd.,Terbixen,Terbinafine,1 gm/100 gm,Cream,"80.00 Tk, 180.00 Tk",Human,157-0273-071,72,412,52.0,11,terbixen,80.00180.00
12654,FnF Pharmaceuticals Ltd.,AxF   PLUS 20%,Amoxicillin,20 %,Powder,"35.00 Tk, 155.00 Tk",Veterinary,327-0012-077,73,28,120.0,21,axf---plus-20%,35.00155.00
12660,FnF Pharmaceuticals Ltd.,Rumenal,Amonium Bicarbonate + Gentian Violet + Ginger + Nux vomica + Sodium Bicarbonate,25 gm + 1.5 gm + 1.5 gm + 7 gm + 65 gm/100 gm,Sachet,"100.00 Tk, 25.00 Tk",Veterinary,327-0013-077,73,1442,489.0,69,rumenal,100.0025.00
12663,FnF Pharmaceuticals Ltd.,Thiavin,Riboflavin + Vitamin B1,2 gm + 5 gm,Sachet,"20.00 Tk, 75.00 Tk",Veterinary,327-0014-077,73,1258,834.0,69,thiavin,20.0075.00
12685,FnF Pharmaceuticals Ltd.,Catasol,Butaphosphan + Cyanocobalamin,10 gm + 5 mg/100 ml,Injection,"142.00 Tk, 450.00 Tk",Veterinary,327-0066-077,73,446,190.0,15,catasol,142.00450.00
12705,FnF Pharmaceuticals Ltd.,Vetlevo,Levofloxacin,10 gm/100 gm,Oral Powder,"250.00 Tk, 1050.00 Tk",Veterinary,327-0086-077,73,95,123.0,24,vetlevo,250.001050.00
12709,FnF Pharmaceuticals Ltd.,Tiamuvet Powder,Tiamulin Hydrogen Fumerate,45 %,Powder,"250.00 Tk, 1100.00 Tk",Veterinary,327-0097-077,73,594,344.0,21,tiamuvet-powder,250.001100.00
12778,G. A. Company Ltd.,Gacozema,Boric Acid + Dithranol + Salicylic Acid,2 gm + 100 mg + 1 gm/100 gm,Ointment,"35.00 Tk, 42.00 Tk",Human,015-0072-071,74,821,534.0,9,gacozema,35.0042.00
12798,G. A. Company Ltd.,Gacotouch Antiseptic Cream,Cetrimide + Chlorhexidine Hydrochloride,500 mg + 100 mg/100 gm,Cream,"25.08 Tk, 34.10 Tk",Human,015-0406-071,74,409,170.0,11,gacotouch-antiseptic-cream,25.0834.10
12876,G. A. Company Ltd.,Silverzine    1%,Silver Sulphadiazine,1 %,Cream,"40.12 Tk, 202.90 Tk, 401.20 Tk",Human,015-0227-023,74,506,108.0,11,silverzine----1%,40.12202.90401.20
13078,"General Pharmaceuticals Ltd, Unit-2",Ocuclor,Chloramphenicol,1 gm/100 gm,Eye Ointment,"8.52 Tk, 12.54 Tk",Human,362-0018-052,75,178,52.0,36,ocuclor,8.5212.54
13112,"General Pharmaceuticals Ltd, Unit-2",Atrogen,Atropine Sulphate,1 gm/100 ml,Eye Drops,"50.14 Tk, 70.21 Tk",Human,362-0059-052,75,997,247.0,18,atrogen,50.1470.21
13117,"General Pharmaceuticals Ltd, Unit-2",Levogen IV Infusion,Levofloxacin,500 mg/100 ml,IV Infusion,"90.28 Tk, 100.30 Tk",Human,362-0069-023,75,95,145.0,42,levogen-iv-infusion,90.28100.30
13260,General Pharmaceuticals Ltd.,Genaplex,Nicotinamide + Pyridoxine Hydrochloride + Riboflavin + Vitamin B1,20 mg + 2 mg + 2 mg + 5 mg/5 ml,Syrup,"20.75 Tk, 37.75 Tk",Human,240-0024-078,76,21,26.0,5,genaplex,20.7537.75
13374,General Pharmaceuticals Ltd.,Azomac,Azithromycin,200 mg/5 ml,Powder For Suspension,"185.55 Tk, 85.57 Tk, 100.30 Tk, 130.88 Tk, 140.43 Tk",Human,240-0159-023,76,1,20.0,4,azomac,185.5585.57100.30130.88140.43
13441,General Pharmaceuticals Ltd.,Dianide,Nitazoxanide,100 mg/5 ml,Powder For Suspension,"35.25 Tk, 50.34 Tk",Human,240-0284-027,76,85,18.0,4,dianide,35.2550.34
13449,General Pharmaceuticals Ltd.,Metiglit    500/1,Metformin Hydrochloride + Rosiglitazone,500 mg + 1 mg,Tablet,"4.04 Tk, 6.04 Tk",Human,240-0248-015,76,920,598.0,1,metiglit----500/1,4.046.04
13574,General Pharmaceuticals Ltd.,Glustin Plus,Condroitin Sulphate Sodium + Glucosamine Sulphate,3 gm + 2 gm/100 gm,Cream,"8.05 Tk, 100.30 Tk, 180.54 Tk",Human,240-0426-071,76,1486,984.0,11,glustin-plus,8.05100.30180.54
13616,General Pharmaceuticals Ltd.,Handiwash Solution,Chlorhexidine Gluconate,500 mg/100 ml,Hand Rub,"130.00 Tk, 40.00 Tk",Human,240-0338-071,76,175,145.0,29,handiwash-solution,130.0040.00
13656,General Pharmaceuticals Ltd.,Handigel,Ethyl Alcohol + Isopropyl Alcohol,66 ml + 3.5 ml/100 ml,Gel,"75.00 Tk, 220.00 Tk, 500.00 Tk",Human,240-0514-071,76,637,377.0,12,handigel,75.00220.00500.00
13711,General Pharmaceuticals Ltd.,Lulicon,Luliconazole,10 mg/gm,Cream,"100.00 Tk, 180.00 Tk",Human,240-0582-071,76,994,48.0,11,lulicon,100.00180.00
13771,Gentry Pharmaceuticals Ltd.,Doxipol,Doxycycline,100 mg/gm,Powder,"800.00 Tk, 1480.00 Tk",Veterinary,040-0054-077,77,136,118.0,21,doxipol,800.001480.00
13772,Gentry Pharmaceuticals Ltd.,Poliva,Levamisole,200 mg/gm,Powder,"650.00 Tk, 1000.00 Tk",Veterinary,040-0055-077,77,125,390.0,21,poliva,650.001000.00
13773,Gentry Pharmaceuticals Ltd.,Maxgard,Tiamulin Hydrogen Fumerate,45 %,Powder,"225.67 Tk, 977.93 Tk",Veterinary,040-0056-077,77,594,344.0,21,maxgard,225.67977.93
13774,Gentry Pharmaceuticals Ltd.,Ampropol,Amprolium + Sulfaquinoxaline Sodium + Vitamin K,170 gm + 170 gm + 1 gm/KG,Powder,"200.61 Tk, 952.86 Tk",Veterinary,040-0047-077,77,132,113.0,21,ampropol,200.61952.86
13779,Gentry Pharmaceuticals Ltd.,Sulba-T Vet,Sulphadiazine + Trimethoprim,40 gm + 8 gm/100 ml,Suspension,"182.54 Tk, 822.61 Tk",Veterinary,040-0058-077,77,754,492.0,6,sulba-t-vet,182.54822.61
13781,Gentry Pharmaceuticals Ltd.,Polcough Vet,Bromhexine Hydrochloride + Phenylbutazone,1 gm + 5 gm/100 ml,Oral Solution,"240.72 Tk, 1123.37 Tk",Veterinary,040-0060-077,77,1155,756.0,23,polcough-vet,240.721123.37
13782,Gentry Pharmaceuticals Ltd.,Neo-Max Vet,Neomycin Sulphate,50 gm/100 gm,Powder,"1300.00 Tk, 2500.00 Tk",Veterinary,040-0065-077,77,144,386.0,21,neo-max-vet,1300.002500.00
13786,Gentry Pharmaceuticals Ltd.,Tolcox Vet Oral Solution,Toltrazuril,2.5 gm/100 ml,Solution,"470.00 Tk, 2080.00 Tk, 3900.00 Tk",Veterinary,040-0070-077,77,142,121.0,14,tolcox-vet-oral-solution,470.002080.003900.00
13844,Get Well Limited,Aziget,Azithromycin,200 mg/5 ml,Powder For Suspension,"85.00 Tk, 140.00 Tk, 185.00 Tk",Human,384-0007-023,79,1,20.0,4,aziget,85.00140.00185.00
13850,Get Well Limited,Cefiget,Cefixime,100 mg/5 ml,Powder For Suspension,"205.00 Tk, 245.00 Tk",Human,384-0013-023,79,14,18.0,4,cefiget,205.00245.00
13883,Globe Pharmaceuticals Ltd.,Anidox,Doxycycline,100 mg/gm,Powder,"17.00 Tk, 150.00 Tk",Veterinary,083-0143-077,83,136,118.0,21,anidox,17.00150.00
13964,Globe Pharmaceuticals Ltd.,Oxyvet,Oxytetracycline,25 %,Powder,"15.00 Tk, 105.00 Tk, 460.00 Tk",Veterinary,083-0062-077,83,135,1003.0,21,oxyvet,15.00105.00460.00
13965,Globe Pharmaceuticals Ltd.,Oxyvet,Oxytetracycline,5 gm/100 ml,Injection,"17.50 Tk, 26.00 Tk, 190.00 Tk",Veterinary,083-0124-077,83,135,251.0,15,oxyvet,17.5026.00190.00
13974,Globe Pharmaceuticals Ltd.,Perion,Domperidone,5 mg/5 ml,Suspension,"30.00 Tk, 38.00 Tk",Human,083-0135-018,83,40,38.0,6,perion,30.0038.00
13980,Globe Pharmaceuticals Ltd.,Quinolex,Chloroquine Phosphate,80 mg/5 ml,Syrup,"12.00 Tk, 20.00 Tk",Human,083-0019-024,83,155,180.0,5,quinolex,12.0020.00
13987,Globe Pharmaceuticals Ltd.,Stanoplex,Nicotinamide + Pyridoxine Hydrochloride + Riboflavin + Vitamin B1,20 mg + 2 mg + 2 mg + 5 mg/5 ml,Syrup,"23.00 Tk, 42.77 Tk",Human,083-0041-078,83,21,26.0,5,stanoplex,23.0042.77
14007,Globe Pharmaceuticals Ltd.,Ultramox,Amoxicillin,125 mg/5 ml,Powder For Suspension,"119.00 Tk, 6.00 Tk, 47.29 Tk",Human,083-0083-023,83,28,17.0,4,ultramox,119.006.0047.29
14011,Globe Pharmaceuticals Ltd.,Winkol,Chlorpheniramine Maleate,2 mg/5 ml,Syrup,"8.00 Tk, 21.78 Tk",Human,083-0007-021,83,20,23.0,5,winkol,8.0021.78
14031,Globe Pharmaceuticals Ltd.,Kaprovet,Ciprofloxacin,10 gm,Solution,"260.00 Tk, 1050.00 Tk, 2075.00 Tk",Veterinary,083-0172-077,83,22,382.0,14,kaprovet,260.001050.002075.00
